STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        433;19380101;19380131;    5;  -999;   2.00;    4.40;   -0.60;-999;-999;-999;-999;-999;    5;    88.0;-999;eor
        433;19380201;19380228;    5;  -999;   2.10;    5.50;   -0.80;-999;-999;-999;-999;-999;    5;    19.0;-999;eor
        433;19380301;19380331;    5;  -999;   8.40;   13.20;    4.00;-999;-999;-999;-999;-999;    5;    29.0;-999;eor
        433;19380401;19380430;    5;  -999;   6.70;   11.00;    3.10;-999;-999;-999;-999;-999;    5;    30.0;-999;eor
        433;19380501;19380531;    5;  -999;  13.00;   18.60;    7.10;-999;-999;-999;-999;-999;    5;    60.0;-999;eor
        433;19380601;19380630;    5;  -999;  17.70;   23.00;   12.40;-999;-999;-999;-999;-999;    5;    21.0;-999;eor
        433;19380701;19380731;    5;  -999;  19.60;   25.00;   14.40;-999;-999;-999;-999;-999;    5;    53.0;-999;eor
        433;19380801;19380831;    5;  -999;  20.50;   25.50;   16.20;-999;-999;-999;-999;-999;    5;   101.0;-999;eor
        433;19380901;19380930;    5;  -999;  15.40;   20.60;   10.60;-999;-999;-999;-999;-999;    5;    47.0;-999;eor
        433;19381001;19381031;    5;  -999;  10.30;   13.30;    7.50;-999;-999;-999;-999;-999;    5;    69.0;-999;eor
        433;19381101;19381130;    5;  -999;   8.20;   10.90;    5.70;-999;-999;-999;-999;-999;    5;    31.0;-999;eor
        433;19381201;19381231;    5;  -999;  -1.10;    0.90;   -3.60;-999;-999;-999;-999;-999;    5;    27.0;-999;eor
        433;19390101;19390131;    5;  -999;   3.20;    5.40;    0.70;-999;-999;-999;-999;-999;    5;    51.0;-999;eor
        433;19390201;19390228;    5;  -999;   3.30;    6.30;    0.90;-999;-999;-999;-999;-999;    5;    20.0;-999;eor
        433;19390301;19390331;    5;  -999;   2.60;    5.90;   -0.10;-999;-999;-999;-999;-999;    5;    71.0;-999;eor
        433;19390401;19390430;    5;  -999;   9.90;   14.50;    5.50;-999;-999;-999;-999;-999;    5;    31.0;-999;eor
        433;19390501;19390531;    5;  -999;  12.20;   16.60;    8.10;-999;-999;-999;-999;-999;    5;    47.0;-999;eor
        433;19390601;19390630;    5;  -999;  18.60;   24.20;   12.90;-999;-999;-999;-999;-999;    5;    64.0;-999;eor
        433;19390701;19390731;    5;  -999;  19.90;   25.00;   14.80;-999;-999;-999;-999;-999;    5;    79.0;-999;eor
        433;19390801;19390831;    5;  -999;  20.40;   26.00;   15.20;-999;-999;-999;-999;-999;    5;   108.0;-999;eor
        433;19390901;19390930;    5;  -999;  15.10;   19.40;   11.40;-999;-999;-999;-999;-999;    5;    74.0;-999;eor
        433;19391001;19391031;    5;  -999;   7.10;   10.20;    4.50;-999;-999;-999;-999;-999;    5;    87.0;-999;eor
        433;19391101;19391130;    5;  -999;   5.50;    8.40;    2.40;-999;-999;-999;-999;-999;    5;    63.0;-999;eor
        433;19391201;19391231;    5;  -999;  -1.00;    1.10;   -3.50;-999;-999;-999;-999;-999;    5;    59.0;-999;eor
        433;19400101;19400131;    5;  -999;  -9.40;   -6.00;  -12.70;-999;-999;-999;-999;-999;    5;    22.0;-999;eor
        433;19400201;19400229;    5;  -999;  -7.20;   -3.30;  -11.50;-999;-999;-999;-999;-999;    5;    26.0;-999;eor
        433;19400301;19400331;    5;  -999;   2.30;    6.10;   -1.10;-999;-999;-999;-999;-999;    5;    61.0;-999;eor
        433;19400401;19400430;    5;  -999;   9.10;   14.10;    4.00;-999;-999;-999;-999;-999;    5;    18.0;-999;eor
        433;19400501;19400531;    5;  -999;  13.80;   18.00;    8.80;-999;-999;-999;-999;-999;    5;    36.0;-999;eor
        433;19400601;19400630;    5;  -999;  20.00;   25.30;   13.70;-999;-999;-999;-999;-999;    5;    46.0;-999;eor
        433;19400701;19400731;    5;  -999;  18.80;   23.50;   13.60;-999;-999;-999;-999;-999;    5;    51.0;-999;eor
        433;19400801;19400831;    5;  -999;  16.30;   20.40;   12.30;-999;-999;-999;-999;-999;    5;    85.0;-999;eor
        433;19400901;19400930;    5;  -999;  13.10;   17.00;    9.40;-999;-999;-999;-999;-999;    5;    41.0;-999;eor
        433;19401001;19401031;    5;  -999;   8.70;   12.60;    4.70;-999;-999;-999;-999;-999;    5;     9.0;-999;eor
