STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        891;19220101;19220131;    5;  -999;  -2.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    33.0;-999;eor
        891;19220201;19220228;    5;  -999;  -1.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    34.0;-999;eor
        891;19220301;19220331;    5;  -999;   2.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    75.0;-999;eor
        891;19220401;19220430;    5;  -999;   6.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    42.0;-999;eor
        891;19220501;19220531;    5;  -999;  12.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    24.0;-999;eor
        891;19220601;19220630;    5;  -999;  14.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    50.0;-999;eor
        891;19220701;19220731;    5;  -999;  15.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    87.0;-999;eor
        891;19220801;19220831;    5;  -999;  15.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    92.0;-999;eor
        891;19220901;19220930;    5;  -999;  11.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    77.0;-999;eor
        891;19221001;19221031;    5;  -999;   5.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    57.0;-999;eor
        891;19221101;19221130;    5;  -999;   3.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    64.0;-999;eor
        891;19221201;19221231;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    72.0;-999;eor
        891;19230101;19230131;    5;  -999;   3.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    69.0;-999;eor
        891;19230201;19230228;    5;  -999;   0.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    55.0;-999;eor
        891;19230301;19230331;    5;  -999;   4.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    17.0;-999;eor
        891;19230401;19230430;    5;  -999;   6.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    25.0;-999;eor
        891;19230501;19230531;    5;  -999;   9.90;    -999;    -999;-999;-999;-999;-999;-999;    5;   100.0;-999;eor
        891;19230601;19230630;    5;  -999;  11.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    66.0;-999;eor
        891;19230701;19230731;    5;  -999;  19.30;    -999;    -999;-999;-999;-999;-999;-999;    5;   112.0;-999;eor
        891;19230801;19230831;    5;  -999;  15.30;    -999;    -999;-999;-999;-999;-999;-999;    5;   135.0;-999;eor
        891;19230901;19230930;    5;  -999;  13.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    62.0;-999;eor
        891;19231001;19231031;    5;  -999;  10.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    88.0;-999;eor
        891;19231101;19231130;    5;  -999;   3.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    72.0;-999;eor
        891;19231201;19231231;    5;  -999;  -1.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    59.0;-999;eor
        891;19240101;19240131;    5;  -999;  -1.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    18.0;-999;eor
        891;19240201;19240229;    5;  -999;  -1.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    25.0;-999;eor
        891;19240301;19240331;    5;  -999;   1.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    40.0;-999;eor
        891;19240401;19240430;    5;  -999;   5.70;    -999;    -999;-999;-999;-999;-999;-999;    5;    69.0;-999;eor
        891;19240501;19240531;    5;  -999;  11.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    59.0;-999;eor
        891;19240601;19240630;    5;  -999;  14.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    64.0;-999;eor
        891;19240701;19240731;    5;  -999;  16.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    66.0;-999;eor
        891;19240801;19240831;    5;  -999;  14.70;    -999;    -999;-999;-999;-999;-999;-999;    5;   118.0;-999;eor
        891;19240901;19240930;    5;  -999;  13.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    56.0;-999;eor
        891;19241001;19241031;    5;  -999;   9.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    50.0;-999;eor
        891;19241101;19241130;    5;  -999;   3.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    23.0;-999;eor
        891;19241201;19241231;    5;  -999;   3.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    27.0;-999;eor
        891;19250101;19250131;    5;  -999;   3.30;    -999;    -999;-999;-999;-999;-999;-999;    5;    48.0;-999;eor
        891;19250201;19250228;    5;  -999;   4.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    79.0;-999;eor
        891;19250301;19250331;    5;  -999;   2.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    28.0;-999;eor
        891;19250401;19250430;    5;  -999;   8.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    30.0;-999;eor
        891;19250501;19250531;    5;  -999;  15.40;    -999;    -999;-999;-999;-999;-999;-999;    5;    40.0;-999;eor
        891;19250601;19250630;    5;  -999;  13.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    57.0;-999;eor
        891;19250701;19250731;    5;  -999;  17.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    66.0;-999;eor
        891;19250801;19250831;    5;  -999;  16.20;    -999;    -999;-999;-999;-999;-999;-999;    5;   133.0;-999;eor
        891;19250901;19250930;    5;  -999;  12.30;    -999;    -999;-999;-999;-999;-999;-999;    5;   148.0;-999;eor
        891;19251001;19251031;    5;  -999;   8.90;    -999;    -999;-999;-999;-999;-999;-999;    5;    95.0;-999;eor
        891;19251101;19251130;    5;  -999;   2.60;    -999;    -999;-999;-999;-999;-999;-999;    5;    49.0;-999;eor
        891;19251201;19251231;    5;  -999;  -0.50;    -999;    -999;-999;-999;-999;-999;-999;    5;   117.0;-999;eor
        891;19260101;19260131;    5;  -999;   0.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    63.0;-999;eor
        891;19260201;19260228;    5;  -999;   3.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    81.0;-999;eor
        891;19260301;19260331;    5;  -999;   4.20;    -999;    -999;-999;-999;-999;-999;-999;    5;    33.0;-999;eor
        891;19260401;19260430;    5;  -999;   9.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    23.0;-999;eor
        891;19260501;19260531;    5;  -999;  10.10;    -999;    -999;-999;-999;-999;-999;-999;    5;   109.0;-999;eor
        891;19260601;19260630;    5;  -999;  15.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    68.0;-999;eor
        891;19260701;19260731;    5;  -999;  17.80;    -999;    -999;-999;-999;-999;-999;-999;    5;   115.0;-999;eor
        891;19260801;19260831;    5;  -999;  16.00;    -999;    -999;-999;-999;-999;-999;-999;    5;    94.0;-999;eor
        891;19260901;19260930;    5;  -999;  14.80;    -999;    -999;-999;-999;-999;-999;-999;    5;    61.0;-999;eor
        891;19261001;19261031;    5;  -999;   7.50;    -999;    -999;-999;-999;-999;-999;-999;    5;   142.0;-999;eor
        891;19261101;19261130;    5;  -999;   6.10;    -999;    -999;-999;-999;-999;-999;-999;    5;    54.0;-999;eor
        891;19261201;19261231;    5;  -999;   2.50;    -999;    -999;-999;-999;-999;-999;-999;    5;    54.0;-999;eor
