STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       5839;19970701;19970731;   10;  5.26;  17.23;   21.63;   13.37;    2.61;  27.6;  16.5;   9.2; 218.50;    9;    90.2;   22.1;eor
       5839;19970801;19970831;   10;  4.08;  19.80;   25.22;   14.99;    2.48;  31.9;  17.0;  11.9; 237.30;    9;    35.6;   10.3;eor
       5839;19970901;19970930;   10;  5.07;  13.55;   18.11;    9.27;    2.53;  23.8;  20.6;   1.9; 152.00;    9;    42.9;   18.7;eor
       5839;19971001;19971031;   10;  4.94;   8.49;   12.75;    5.13;    2.83;  19.4;  24.2;  -7.2; 116.20;    9;    92.4;   18.6;eor
       5839;19971101;19971130;   10;  6.13;   4.72;    7.07;    1.85;    3.45;  12.9;  20.6;  -5.1;  48.00;    9;    18.8;    4.5;eor
       5839;19971201;19971231;   10;  6.27;   3.81;    5.88;    1.47;    3.55;  11.7;  21.6;  -9.4;  37.20;    9;    69.3;   11.7;eor
       5839;19980101;19980131;   10;  6.07;   4.26;    6.63;    1.84;    3.44;  11.9;  24.7;  -8.1;  56.70;    9;    82.7;   13.3;eor
       5839;19980201;19980228;   10;  6.11;   6.04;    8.63;    3.58;    3.71;  15.1;  24.7;  -8.7;  60.60;    9;    26.2;    7.2;eor
       5839;19980301;19980331;   10;  6.19;   6.09;    9.82;    3.00;    3.54;  21.6;  22.1;  -4.9; 102.70;    9;    69.4;   15.9;eor
       5839;19980401;19980430;   10;  6.58;   8.62;   12.29;    5.40;    2.80;  20.3;  18.0;  -1.1;  89.40;    9;   120.3;   24.4;eor
       5839;19980501;19980531;   10;  4.63;  13.00;   18.13;    8.57;    2.94;  26.8;  14.9;   4.9; 229.20;    9;    29.7;    8.1;eor
       5839;19980601;19980630;   10;  6.10;  15.11;   19.71;   11.46;    2.78;  31.1;  17.5;   4.3; 142.60;    9;   163.1;   29.8;eor
       5839;19980701;19980731;   10;  5.87;  15.55;   19.16;   12.45;    3.16;  30.0;  17.5;   8.8; 153.30;    9;    99.5;   17.4;eor
       5839;19980801;19980831;   10;  5.18;  15.59;   20.05;   11.87;    2.89;  28.3;  16.5;   6.7; 174.90;    9;    86.2;   36.0;eor
       5839;19980901;19980930;   10;  6.01;  13.46;   17.20;   10.15;    2.78;  20.9;  17.0;   4.0;  82.30;    9;    83.3;   19.8;eor
       5839;19981001;19981031;   10;  6.19;   9.15;   11.61;    6.98;    3.81;  16.7;  23.7;   1.1;  68.10;    9;   144.7;   19.8;eor
