STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1757;18980101;18980131;    5;  -999;   -999;    -999;    0.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1757;18980201;18980228;    5;  -999;   -999;    -999;    0.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       1757;18980301;18980331;    1;  6.50;   2.85;    5.16;    0.56;    4.05;  11.2;-999;  -4.6;-999;    1;    99.1;   14.5;eor
       1757;18980401;18980430;    1;  6.45;   5.83;    8.41;    3.52;    4.01;  13.1;-999;  -1.5;-999;    1;    65.4;   16.1;eor
       1757;18980501;18980531;    1;  6.08;  10.56;   14.09;    6.79;    3.60;  23.0;-999;   3.0;-999;    1;    62.0;    8.3;eor
       1757;18980601;18980630;    1;  3.90;  14.80;   18.86;    9.73;    3.34;  24.6;-999;   3.1;-999;    1;    22.9;   12.4;eor
       1757;18980701;18980731;    1;  5.05;  14.17;   17.61;   10.37;    3.70;  22.7;-999;   7.3;-999;    1;   103.1;   25.9;eor
       1757;18980801;18980831;    1;  4.13;  17.02;   21.74;   12.75;    3.25;  30.5;-999;   8.1;-999;    1;    76.5;   46.7;eor
       1757;18980901;18980930;    1;  4.09;  12.92;   17.43;    8.51;    2.84;  27.3;-999;   2.0;-999;    1;    45.2;   17.1;eor
       1757;18981001;18981031;    1;  6.13;   7.63;   10.48;    4.88;    3.22;  16.7;-999;  -1.5;-999;    1;    49.5;    8.2;eor
       1757;18981101;18981130;    1;  6.04;   4.59;    6.86;    2.24;    2.48;  11.5;-999;  -2.6;-999;    1;    17.0;    5.7;eor
       1757;18981201;18981231;    1;  6.07;   4.06;    6.21;    1.66;    4.69;  11.0;-999;  -4.9;-999;    1;    42.8;    9.7;eor
       1757;18990101;18990131;    1;  5.75;   2.11;    4.27;   -0.06;    3.30;  10.5;-999;  -5.8;-999;    1;    58.5;    8.7;eor
       1757;18990201;18990228;    1;  5.84;   2.44;    4.91;    0.14;    2.85;  14.0;-999;  -7.4;-999;    1;    28.9;    9.8;eor
       1757;18990301;18990331;    1;  5.45;   2.04;    5.88;   -1.32;    3.29;  14.0;-999; -13.0;-999;    1;    28.4;    7.6;eor
       1757;18990401;18990430;    1;  4.62;   7.03;   11.60;    2.71;    2.92;  17.6;-999;  -3.0;-999;    1;    51.1;   10.1;eor
       1757;18990501;18990531;    1;  5.08;  11.05;   15.30;    7.43;    3.52;  26.2;-999;   1.0;-999;    1;    25.6;    7.2;eor
       1757;18990601;18990630;    1;  5.04;  13.64;   17.37;    8.70;    2.99;  23.6;-999;   4.1;-999;    1;    33.2;   11.1;eor
       1757;18990701;18990731;    1;  3.77;  18.39;   22.54;   13.87;    2.51;  27.3;-999;  10.3;-999;    1;    60.6;   36.1;eor
       1757;18990801;18990831;    1;  2.76;  15.93;   20.68;   10.99;    2.25;  26.3;-999;   3.6;-999;    1;    23.9;    6.6;eor
       1757;18990901;18990930;    1;  4.89;  12.27;   16.13;    9.24;    3.26;  25.4;-999;   3.8;-999;    1;    73.5;   12.4;eor
       1757;18991001;18991031;    1;  4.47;   8.23;   11.93;    4.38;    2.73;  18.2;-999;  -1.8;-999;    1;    24.1;    4.8;eor
       1757;18991101;18991130;    1;  5.30;   7.41;   10.02;    4.58;    3.79;  17.9;-999;  -2.6;-999;    1;    39.5;    6.7;eor
       1757;18991201;18991231;    1;  5.33;  -2.77;   -0.06;   -5.53;    3.35;   7.6;-999; -21.5;-999;    1;    40.3;    8.1;eor
       1757;19000101;19000131;    1;  6.92;  -0.55;    1.13;   -2.54;    2.89;   7.0;-999; -12.9;-999;    1;    64.6;    6.4;eor
       1757;19000201;19000228;    1;  6.47;  -0.01;    2.23;   -2.16;    3.04;  12.1;-999; -10.6;-999;    1;    20.3;    5.9;eor
       1757;19000301;19000331;    1;  4.86;   0.50;    3.34;   -1.86;    3.05;   9.0;-999;  -6.4;-999;    1;    23.9;   11.5;eor
       1757;19000401;19000430;    1;  4.82;   5.88;    9.84;    2.04;    4.47;  21.0;-999;  -2.7;-999;    1;    43.5;    9.2;eor
       1757;19000501;19000531;    1;  4.22;  10.27;   14.51;    5.88;    2.96;  25.0;-999;   1.2;-999;    1;    49.6;   11.1;eor
