STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1975;19360101;19360131;    5;  6.42;   3.63;    5.48;    1.50;    3.76;  11.9;-999;  -3.0;-999;    5;    82.6;   13.8;eor
       1975;19360201;19360229;    5;  6.33;   0.07;    2.12;   -1.80;    3.14;   7.1;-999;  -8.5;-999;    5;    74.7;   11.9;eor
       1975;19360301;19360331;    5;  6.09;   4.60;    7.96;    1.54;    2.45;  19.0;-999;  -2.0;-999;    5;    13.0;    4.7;eor
       1975;19360401;19360430;    5;  5.88;   5.65;    9.83;    2.25;    2.59;  17.0;-999;  -2.4;-999;    5;    87.5;   25.3;eor
       1975;19360501;19360531;    5;  5.87;  11.15;   15.88;    7.63;    2.83;  21.2;-999;   3.4;-999;    5;    36.0;    8.4;eor
       1975;19360601;19360630;    5;  4.34;  17.18;   22.47;   10.52;    2.50;  30.1;-999;   2.8;-999;    5;    25.5;   20.6;eor
       1975;19360701;19360731;    5;  5.55;  17.37;   22.29;   12.92;    2.60;  30.2;-999;   8.8;-999;    5;   108.0;   21.7;eor
       1975;19360801;19360831;    5;  5.04;  16.43;   21.55;   11.89;    2.60;  28.6;-999;   6.8;-999;    5;    49.8;   18.5;eor
       1975;19360901;19360930;    5;  4.54;  13.01;   18.25;    8.17;    2.91;  24.0;-999;  -1.2;-999;    5;    45.2;   14.6;eor
       1975;19361001;19361031;    5;  5.87;   7.17;   11.09;    3.15;    3.20;  14.5;-999;  -4.2;-999;    5;    91.8;   16.5;eor
       1975;19361101;19361130;    5;  6.65;   4.51;    6.62;    2.09;    3.45;  11.6;-999;  -3.6;-999;    5;    65.6;   12.6;eor
       1975;19361201;19361231;    5;  5.39;   2.80;    5.00;    0.11;    4.01;  11.8;-999;  -5.8;-999;    5;    29.8;    6.2;eor
       1975;19370101;19370131;    5;  6.20;  -1.45;    0.78;   -3.29;    4.33;   9.2;-999; -12.7;-999;    5;    48.4;    8.7;eor
       1975;19370201;19370228;    5;  6.91;   2.35;    4.80;   -0.26;    3.39;   9.6;-999;  -9.5;-999;    5;    85.5;   10.8;eor
       1975;19370301;19370331;    5;  6.35;   2.31;    5.22;   -0.75;    2.79;  13.0;-999; -11.5;-999;    5;    71.8;   12.2;eor
       1975;19370401;19370430;    5;  6.45;   8.74;   12.51;    5.43;    2.44;  18.0;-999;   1.3;-999;    5;    89.1;   22.3;eor
       1975;19370501;19370531;    5;  4.72;  14.22;   19.50;    9.13;    2.35;  29.4;-999;   4.1;-999;    5;    68.7;   17.0;eor
       1975;19370601;19370630;    5;  5.32;  16.13;   20.78;   11.24;    2.34;  33.9;-999;   4.9;-999;    5;    96.1;   38.2;eor
       1975;19370701;19370731;    5;  6.00;  17.35;   21.39;   13.42;    2.51;  30.7;-999;  10.2;-999;    5;    75.6;   13.3;eor
       1975;19370801;19370831;    5;  4.85;  17.56;   22.79;   12.23;    1.92;  30.4;-999;   6.7;-999;    5;    24.5;    6.6;eor
       1975;19370901;19370930;    5;  5.05;  13.55;   18.37;    8.81;    2.01;  24.1;-999;   1.4;-999;    5;    55.0;   22.0;eor
