STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1766;19891001;19891031;   10;  4.97;  11.38;   15.53;    7.70;    2.77;  22.5;  20.6;  -1.0; 123.50;   10;    62.7;   12.2;eor
       1766;19891101;19891130;   10;  4.11;   4.38;    8.74;    0.66;    2.21;  15.0;  18.0;  -8.8; 120.90;   10;    18.4;    4.3;eor
       1766;19891201;19891231;   10;  6.17;   3.97;    7.11;    0.77;    2.27;  14.9;  24.2;  -7.6;  37.20;   10;    77.0;   18.8;eor
       1766;19900101;19900131;   10;  6.53;   5.01;    7.02;    2.79;    3.31;  12.4;  34.5;  -3.3;  35.80;   10;    46.0;   17.6;eor
       1766;19900201;19900228;   10;  5.19;   7.08;   11.18;    3.86;    3.59;  17.0;  31.4;  -1.8;  94.40;   10;    95.3;   27.6;eor
       1766;19900301;19900331;   10;  5.11;   7.56;   12.23;    3.83;    3.20;  20.6;  24.7;  -1.0; 135.30;   10;    28.7;    5.7;eor
       1766;19900401;19900430;   10;  4.00;   8.17;   13.59;    3.46;    2.69;  20.7;  22.1;  -5.3; 213.30;   10;    31.7;    5.4;eor
       1766;19900501;19900531;   10;  3.38;  14.32;   19.85;    7.13;    2.15;  27.4;  21.6;   0.4; 300.20;   10;    35.0;   11.4;eor
       1766;19900601;19900630;   10;  6.31;  15.43;   19.73;   11.55;    2.15;  27.4;  19.6;   5.4; 128.40;   10;    97.0;   14.7;eor
       1766;19900701;19900731;   10;  4.50;  16.82;   22.14;   11.04;    2.70;  31.8;  21.1;   5.7; 239.10;   10;    36.0;   13.1;eor
       1766;19900801;19900831;   10;  4.37;  18.59;   24.57;   13.09;    2.10;  35.3;  21.0;   7.0; 223.80;   10;    60.3;   18.3;eor
       1766;19900901;19900930;   10;  5.84;  11.87;   16.17;    8.48;    2.30;  21.0;  22.1;   4.0;  88.80;   10;    83.7;   11.5;eor
       1766;19901001;19901031;   10;  4.61;  11.86;   16.41;    7.87;    2.63;  25.0;  19.5;   1.9; 155.30;   10;    42.8;   27.3;eor
       1766;19901101;19901130;   10;  5.89;   5.37;    7.99;    3.09;    2.37;  13.4;  26.7;  -2.4;  44.70;   10;   112.4;   29.2;eor
       1766;19901201;19901231;   10;  6.54;   3.11;    4.82;    1.03;    2.74;   9.7;  22.1;  -4.2;  34.90;   10;    64.8;   10.8;eor
       1766;19910101;19910131;   10;  5.38;   2.86;    5.22;    0.76;    2.73;  13.0;  24.6;  -4.9;  73.50;    9;    70.5;   24.4;eor
       1766;19910201;19910228;   10;  5.14;  -1.21;    2.14;   -4.77;    2.39;  14.5;  18.0; -12.7;  88.30;    9;    11.1;    4.9;eor
       1766;19910301;19910331;   10;  5.15;   8.17;   12.26;    4.52;    2.23;  18.2;  18.0;  -2.9; 130.90;    9;    21.5;    6.1;eor
       1766;19910401;19910430;   10;  4.47;   8.16;   13.33;    2.73;    2.59;  21.2;  19.0;  -6.4; 221.30;    9;    22.9;   13.2;eor
       1766;19910501;19910531;   10;  5.70;  10.40;   14.75;    5.44;    2.50;  23.2;  15.9;   1.0; 162.00;    9;    33.7;    9.7;eor
       1766;19910601;19910630;   10;  6.38;  13.10;   16.92;    9.61;    2.83;  22.1;  20.0;   1.1; 121.70;    9;    90.5;   25.5;eor
       1766;19910701;19910731;   10;  4.56;  19.47;   24.61;   14.35;    2.36;  33.4;  14.4;   7.0; 267.20;    9;    38.7;    8.8;eor
       1766;19910801;19910831;   10;  4.11;  17.78;   23.44;   12.24;    1.99;  32.3;  17.4;   5.2; 226.20;    9;    49.0;   19.3;eor
       1766;19910901;19910930;   10;  4.68;  14.94;   20.57;   10.26;    2.17;  28.7;  15.9;   2.0; 156.60;    9;    70.5;   25.2;eor
       1766;19911001;19911031;   10;  4.32;   9.24;   13.71;    6.22;    2.41;  21.4;  25.2;  -0.9; 146.60;    9;    37.9;    8.9;eor
       1766;19911101;19911130;   10;  5.48;   5.15;    7.98;    2.48;    2.63;  14.3;  22.1;  -4.0;  64.20;    9;   120.9;   21.0;eor
       1766;19911201;19911231;   10;  5.11;   2.74;    5.65;   -0.21;    2.51;  12.7;  22.1;  -7.0;  65.00;    9;    65.0;   22.2;eor
       1766;19920101;19920131;   10;  6.05;   2.01;    4.54;   -0.28;    2.66;  11.5;  19.0;  -8.6;  44.70;    9;    35.4;   21.1;eor
       1766;19920201;19920229;   10;  5.84;   4.45;    7.41;    1.44;    2.77;  15.8;  18.0;  -6.4;  65.30;    9;    25.4;    5.4;eor
       1766;19920301;19920331;   10;  5.59;   6.05;    9.82;    2.70;    2.97;  16.4;  29.3;  -2.8;  89.30;    9;    71.9;   24.0;eor
       1766;19920401;19920430;   10;  5.21;   8.35;   12.74;    4.20;    2.50;  18.1;  17.5;  -1.3; 131.60;    9;    53.0;   14.7;eor
       1766;19920501;19920531;   10;  3.26;  16.03;   21.02;   10.30;    2.79;  30.3;  22.6;   1.0; 309.80;    9;    22.3;    9.1;eor
       1766;19920601;19920630;   10;  4.45;  17.64;   23.05;   11.79;    2.22;  31.5;  15.9;   5.0; 234.20;    9;    57.2;   25.9;eor
       1766;19920701;19920731;   10;  4.61;  18.85;   24.50;   13.65;    2.44;  31.5;  17.0;   7.8; 225.20;    9;    54.3;   14.0;eor
       1766;19920801;19920831;   10;  5.07;  18.47;   23.81;   13.92;    2.62;  33.9;  19.0;   9.3; 181.10;    9;   100.8;   24.8;eor
       1766;19920901;19920930;   10;  4.96;  14.21;   19.21;   10.15;    2.32;  24.5;  20.1;   4.2; 171.10;    9;    55.3;   29.4;eor
       1766;19921001;19921031;   10;  5.35;   6.95;   10.57;    3.95;    2.62;  17.4;  17.5;  -2.9;  94.80;    9;    76.2;   15.0;eor
       1766;19921101;19921130;   10;  6.10;   7.12;    9.64;    4.36;    3.24;  14.5;  32.9;  -0.6;  59.70;    9;   101.1;   13.1;eor
       1766;19921201;19921231;   10;  5.66;   2.91;    5.36;    0.96;    2.41;  12.7;  21.1;  -9.8;  59.50;    9;    54.2;   19.8;eor
       1766;19930101;19930131;   10;  5.37;   4.04;    7.35;    0.86;    3.58;  15.0;  29.8; -12.1;  62.90;    9;   108.5;   27.9;eor
