STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       3032;19370101;19370131;    5;  6.29;  -0.22;    1.13;   -1.67;    6.07;   8.1;-999;  -9.0;  30.10;    5;    74.2;   12.1;eor
       3032;19370201;19370228;    5;  5.90;   1.40;    3.04;   -0.74;    4.61;   5.5;-999;  -8.1;  71.50;    5;    79.6;    9.0;eor
       3032;19370301;19370331;    5;  6.11;   1.54;    3.34;    0.00;    4.08;   9.0;-999;  -5.3; 107.80;    5;    28.1;    5.3;eor
       3032;19370401;19370430;    5;  6.60;   6.97;    9.07;    5.16;    4.25;  12.8;-999;   0.4;  96.10;    5;    48.0;   12.8;eor
       3032;19370501;19370531;    5;  4.70;  12.45;   15.86;    9.46;    3.35;  24.2;-999;   5.1; 245.60;    5;    49.1;    9.3;eor
       3032;19370601;19370630;    5;  5.66;  14.53;   17.15;   12.08;    3.99;  28.8;-999;   4.8; 192.80;    5;    91.5;   32.4;eor
       3032;19370701;19370731;    5;  5.92;  16.98;   19.51;   14.68;    3.62;  28.0;-999;  11.5; 168.80;    5;    68.2;   15.6;eor
       3032;19370801;19370831;    5;  4.78;  18.27;   20.66;   15.78;    3.44;  26.1;-999;  13.0; 244.40;    5;    45.1;   16.0;eor
       3032;19370901;19370930;    5;  4.66;  14.76;   16.73;   12.47;    3.95;  20.2;-999;   8.4; 166.80;    5;    77.7;   15.8;eor
       3032;19371001;19371031;    5;  6.06;  11.28;   12.98;    9.23;    3.99;  15.7;-999;   6.2;  67.80;    5;    32.1;   12.7;eor
       3032;19371101;19371130;    5;  5.67;   5.27;    7.36;    2.95;    3.49;  11.5;-999;  -2.7;  64.50;    5;    66.1;    9.4;eor
       3032;19371201;19371231;    5;  6.86;   0.86;    2.32;   -1.01;    4.22;   8.7;-999;  -4.7;  23.00;    5;    42.4;    6.7;eor
       3032;19380101;19380131;    5;  5.95;   3.10;    4.66;    0.98;    4.36;   7.8;-999;  -3.8;  43.70;    5;    61.1;   15.7;eor
       3032;19380201;19380228;    5;  4.49;   2.66;    4.60;    0.50;    4.57;   7.5;-999;  -4.0; 123.40;    5;    32.0;   10.9;eor
       3032;19380301;19380331;    5;  4.99;   6.21;    8.12;    4.22;    4.92;  13.3;-999;   0.7; 169.30;    5;    16.9;    8.4;eor
       3032;19380401;19380430;    5;  4.28;   6.63;    9.20;    3.90;    4.61;  14.2;-999;   0.1; 240.50;    5;    11.7;    6.4;eor
       3032;19380501;19380531;    5;  4.75;  10.17;   13.35;    7.23;    4.13;  23.1;-999;   3.3; 282.00;    5;    62.1;   11.4;eor
       3032;19380601;19380630;    5;  5.37;  13.82;   16.15;   11.72;    4.66;  23.1;-999;   9.8; 231.40;    5;    37.8;    9.4;eor
       3032;19380701;19380731;    5;  5.50;  16.19;   18.60;   14.15;    3.51;  25.0;-999;  11.2; 214.40;    5;    74.6;   22.5;eor
       3032;19380801;19380831;    5;  4.22;  18.30;   21.08;   15.48;    4.51;  26.4;-999;  11.3; 263.80;    5;   113.3;   25.6;eor
       3032;19380901;19380930;    5;  4.82;  15.36;   17.81;   13.30;    3.97;  21.4;-999;   8.9; 166.90;    5;    46.1;   10.6;eor
       3032;19381001;19381031;    5;  5.53;  10.46;   12.38;    8.42;    4.43;  16.1;-999;   0.3; 100.90;    5;   151.6;   24.2;eor
       3032;19381101;19381130;    5;  6.42;   9.02;   10.48;    7.48;    4.44;  13.1;-999;   4.8;  34.50;    5;   115.6;   20.6;eor
       3032;19381201;19381231;    5;  5.99;   1.37;    3.11;   -0.20;    4.74;   9.2;-999;  -8.0;  43.80;    5;    59.5;    9.0;eor
       3032;19390101;19390131;    5;  6.25;   2.26;    3.70;    0.73;    4.90;   7.7;-999;  -5.6;  41.50;    5;    73.4;    9.5;eor
       3032;19390201;19390228;    5;  6.04;   3.64;    5.06;    2.19;    4.98;   7.4;-999;  -1.7;  76.70;    5;    25.2;    7.3;eor
       3032;19390301;19390331;    5;  4.70;   3.02;    4.95;    0.97;    5.21;   8.3;-999;  -3.0; 155.30;    5;    41.9;    8.6;eor
       3032;19390401;19390430;    5;  4.60;   6.66;    9.31;    4.57;    4.78;  15.5;-999;  -0.1; 225.00;    5;    27.3;    8.5;eor
       3032;19390501;19390531;    5;  3.71;  10.75;   14.13;    7.94;    4.45;  18.5;-999;   4.4; 304.50;    5;    14.0;    7.1;eor
       3032;19390601;19390630;    5;  4.21;  15.23;   18.33;   12.13;    4.31;  25.8;-999;   8.8; 330.10;    5;    41.7;   26.2;eor
       3032;19390701;19390731;    5;  5.55;  16.95;   20.22;   14.44;    4.69;  26.2;-999;  10.6; 245.70;    5;    96.8;   28.0;eor
       3032;19390801;19390831;    5;  4.21;  18.30;   21.55;   15.54;    3.39;  25.9;-999;  12.4; 229.20;    5;    73.0;   24.4;eor
