STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        164;19080601;19080630;    1;  2.92;  17.27;   24.24;   11.20;    1.64;  32.0;-999;   3.9;-999;    1;    23.2;   11.2;eor
        164;19080701;19080731;    1;  4.35;  18.37;   25.09;   13.15;    1.37;  34.0;-999;   7.5;-999;    1;    69.7;   11.8;eor
        164;19080801;19080831;    1;  4.14;  15.29;   21.90;   10.61;    1.79;  28.0;-999;   5.9;-999;    1;    40.3;    6.4;eor
        164;19080901;19080930;    1;  3.78;  12.01;   19.00;    6.60;    1.52;  28.0;-999;   2.8;-999;    1;    18.6;    7.1;eor
        164;19081001;19081031;    1;  2.81;   7.62;   15.09;    2.26;    0.99;  26.6;-999;  -8.1;-999;    1;     2.6;    2.4;eor
        164;19081101;19081130;    1;  4.71;   0.76;    5.42;   -2.76;    1.33;   9.6;-999; -12.1;-999;    1;    15.1;    4.2;eor
        164;19081201;19081231;    1;  5.13;  -2.87;    0.95;   -5.48;    0.53;   9.4;-999; -22.3;-999;    1;    15.6;    4.4;eor
        164;19090101;19090131;    1;  5.68;  -1.81;    1.48;   -4.56;    1.04;   6.9;-999; -22.3;-999;    1;    24.1;    5.7;eor
        164;19090201;19090228;    1;  5.74;  -2.78;    0.71;   -6.13;    1.66;   7.3;-999; -15.2;-999;    1;    36.6;   12.7;eor
        164;19090301;19090331;    1;  5.22;  -0.10;    5.11;   -4.44;    1.04;  19.3;-999; -16.2;-999;    1;    26.1;   16.5;eor
        164;19090401;19090430;    1;  3.91;   7.03;   12.63;    2.01;    1.67;  22.6;-999;  -4.6;-999;    1;    33.1;    8.1;eor
        164;19090501;19090531;    1;  3.47;  10.62;   16.48;    4.88;    1.84;  26.2;-999;  -0.1;-999;    1;    39.1;   13.5;eor
        164;19090601;19090630;    1;  4.47;  15.06;   21.05;    9.31;    1.93;  31.5;-999;   5.3;-999;    1;    47.0;   17.6;eor
        164;19090701;19090731;    1;  5.72;  16.30;   21.64;   11.20;    2.18;  25.2;-999;   6.3;-999;    1;    56.3;   11.8;eor
        164;19090801;19090831;    1;  4.02;  16.70;   23.85;   11.33;    1.41;  28.9;-999;   7.5;-999;    1;    56.2;   28.4;eor
        164;19090901;19090930;    1;  5.00;  13.13;   19.47;    9.26;    1.34;  24.7;-999;   5.5;-999;    1;    49.2;   17.3;eor
        164;19091001;19091031;    1;  3.75;  10.22;   16.58;    5.86;    1.22;  22.1;-999;  -2.6;-999;    1;    16.6;    9.6;eor
        164;19091101;19091130;    1;  6.09;   2.12;    5.01;   -0.11;    1.84;  10.1;-999;  -5.7;-999;    1;    69.6;   17.3;eor
        164;19091201;19091231;    1;  5.88;   1.32;    5.05;   -1.36;    1.89;  12.9;-999;  -7.9;-999;    1;    62.9;    9.3;eor
        164;19100101;19100131;    1;  6.47;   1.52;    4.49;   -0.93;    2.06;  10.2;-999;  -7.9;-999;    1;    28.4;    6.8;eor
        164;19100201;19100228;    1;  6.48;   2.72;    6.05;    0.11;    1.44;  12.1;-999;  -3.5;-999;    1;    44.4;   14.4;eor
        164;19100301;19100331;    1;  4.34;   3.61;    9.66;   -0.25;    1.49;  15.0;-999;  -4.6;-999;    1;     7.9;    3.7;eor
        164;19100401;19100430;    1;  4.39;   7.87;   14.34;    2.61;    1.94;  25.6;-999;  -3.1;-999;    1;    20.2;    6.1;eor
        164;19100501;19100531;    1;  3.83;  13.34;   20.00;    7.51;    2.24;  28.1;-999;   0.0;-999;    1;    52.2;    9.6;eor
        164;19100601;19100630;    1;  3.91;  17.78;   25.29;   11.88;    2.03;  32.0;-999;   3.4;-999;    1;   102.5;   36.3;eor
        164;19100701;19100731;    1;  4.59;  16.67;   22.61;   11.70;    1.67;  31.5;-999;   7.8;-999;    1;    68.1;   15.8;eor
        164;19100801;19100831;    1;  4.70;  15.97;   22.33;   11.92;    1.78;  27.9;-999;   7.9;-999;    1;    81.1;   16.2;eor
        164;19100901;19100930;    1;  4.23;  12.43;   18.79;    7.92;    1.40;  22.8;-999;   1.8;-999;    1;    61.1;   26.9;eor
        164;19101001;19101031;    1;  4.10;   7.63;   13.44;    4.04;    1.44;  20.9;-999;  -1.5;-999;    1;    24.3;   16.9;eor
        164;19101101;19101130;    1;  5.96;   1.81;    4.27;   -0.37;    1.60;   9.7;-999;  -5.5;-999;    1;    52.9;   11.0;eor
        164;19101201;19101231;    1;  6.05;   1.77;    3.84;    0.01;    1.30;   9.4;-999;  -5.8;-999;    1;    35.7;    5.3;eor
        164;19110101;19110131;    1;  6.46;   0.24;    2.53;   -1.99;    1.73;   8.1;-999;  -8.6;-999;    1;    31.2;    8.2;eor
        164;19110201;19110228;    1;  5.50;   1.05;    4.10;   -2.27;    2.64;   9.4;-999; -10.1;-999;    1;    57.6;   16.1;eor
        164;19110301;19110331;    1;  4.86;   3.42;    7.82;    0.08;    1.77;  20.6;-999;  -4.0;-999;    1;    26.1;    7.4;eor
        164;19110401;19110430;    1;  4.67;   8.25;   13.64;    3.39;    1.89;  24.9;-999;  -6.5;-999;    1;    27.3;   10.0;eor
        164;19110501;19110531;    1;  3.27;  13.29;   20.41;    7.68;    1.93;  26.4;-999;   0.7;-999;    1;    16.8;    8.1;eor
        164;19110601;19110630;    1;  4.00;  15.83;   21.32;   10.14;    2.01;  28.7;-999;   3.9;-999;    1;    59.7;   15.0;eor
        164;19110701;19110731;    1;  3.59;  18.88;   24.97;   13.27;    1.86;  34.8;-999;   8.6;-999;    1;     7.7;    2.8;eor
        164;19110801;19110831;    1;  2.47;  19.27;   26.53;   12.07;    1.44;  31.7;-999;   6.7;-999;    1;     6.6;    2.9;eor
        164;19110901;19110930;    1;  3.38;  14.35;   21.36;    8.75;    1.50;  33.1;-999;   2.9;-999;    1;    36.1;   24.7;eor
        164;19111001;19111031;    1;  4.90;   8.06;   12.81;    3.88;    1.96;  17.7;-999;  -4.6;-999;    1;    34.5;   15.6;eor
        164;19111101;19111130;    1;  5.98;   3.99;    6.99;    1.49;    2.13;  14.3;-999;  -4.0;-999;    1;    21.7;    8.7;eor
        164;19111201;19111231;    1;  6.47;   1.85;    3.61;    0.07;    1.40;   7.0;-999;  -3.6;-999;    1;    37.6;    6.1;eor
        164;19120101;19120131;    1;  4.80;  -4.39;   -0.76;   -7.40;    1.91;   7.8;-999; -15.5;-999;    1;    36.1;   11.9;eor
        164;19120201;19120229;    1;  5.76;  -0.61;    3.42;   -4.49;    1.23;  14.1;-999; -30.1;-999;    1;    29.7;    8.1;eor
        164;19120301;19120331;    1;  5.51;   5.68;   10.20;    2.19;    2.34;  18.0;-999;  -0.9;-999;    1;    26.7;    4.2;eor
        164;19120401;19120430;    1;  3.56;   6.62;   12.27;    1.46;    2.56;  20.0;-999;  -4.4;-999;    1;    19.7;    4.5;eor
        164;19120501;19120531;    1;  5.41;  11.13;   16.56;    6.33;    1.84;  25.2;-999;  -4.7;-999;    1;    47.0;   15.7;eor
        164;19120601;19120630;    1;  5.48;  15.67;   21.37;   10.94;    1.49;  28.1;-999;   6.1;-999;    1;    72.2;   14.9;eor
        164;19120701;19120731;    1;  2.89;  19.10;   25.60;   12.09;    1.92;  30.8;-999;   8.4;-999;    1;    64.1;   28.9;eor
        164;19120801;19120831;    1;  6.01;  14.87;   19.94;   10.68;    2.04;  26.9;-999;   6.0;-999;    1;    83.6;   33.9;eor
        164;19120901;19120930;    1;  4.47;   9.58;   15.21;    5.59;    1.75;  18.7;-999;   0.0;-999;    1;    29.6;    4.7;eor
        164;19121001;19121031;    1;  4.63;   6.15;   10.79;    2.52;    1.68;  15.8;-999;  -3.4;-999;    1;    47.7;   12.7;eor
        164;19121101;19121130;    1;  6.02;   2.17;    4.55;   -0.08;    1.71;   8.2;-999;  -4.4;-999;    1;    37.1;    5.4;eor
        164;19121201;19121231;    1;  5.82;   3.50;    5.83;    1.23;    2.36;  11.3;-999;  -3.5;-999;    1;    38.7;   13.0;eor
        164;19130101;19130131;    1;  5.87;  -1.15;    1.54;   -3.19;    2.42;   6.1;-999; -13.7;-999;    1;    47.8;   16.2;eor
        164;19130201;19130228;    1;  4.70;   1.05;    5.14;   -2.44;    2.05;   9.9;-999;  -9.4;-999;    1;    13.3;    6.1;eor
        164;19130301;19130331;    1;  4.60;   5.88;   10.73;    1.43;    2.83;  22.2;-999;  -8.0;-999;    1;    28.9;    5.2;eor
        164;19130401;19130430;    1;  4.11;   7.79;   13.90;    2.63;    1.99;  28.4;-999;  -5.4;-999;    1;    18.7;    4.7;eor
        164;19130501;19130531;    1;  3.08;  12.67;   19.29;    6.15;    1.74;  29.1;-999;  -0.2;-999;    1;    43.2;   15.9;eor
        164;19130601;19130630;    1;  3.94;  15.24;   21.02;    9.20;    2.20;  29.9;-999;   2.6;-999;    1;    36.7;   11.1;eor
        164;19130701;19130731;    1;  4.58;  16.30;   21.63;   10.84;    1.84;  28.4;-999;   5.8;-999;    1;    32.4;    8.7;eor
        164;19130801;19130831;    1;  4.36;  15.88;   21.67;   10.24;    1.71;  28.2;-999;   4.9;-999;    1;    60.0;   16.1;eor
        164;19130901;19130930;    1;  3.77;  13.27;   18.87;    8.41;    1.56;  24.7;-999;   3.4;-999;    1;    35.0;   13.8;eor
        164;19131001;19131031;    1;  3.69;   6.90;   13.95;    2.24;    1.05;  20.9;-999;  -2.9;-999;    1;    13.4;    4.4;eor
        164;19131101;19131130;    1;  6.08;   6.13;    8.85;    3.04;    2.40;  15.0;-999;  -3.0;-999;    1;    40.9;   10.6;eor
        164;19131201;19131231;    1;  7.01;   2.98;    5.00;    1.09;    3.81;   9.7;-999;  -2.8;-999;    1;    98.7;   16.6;eor
        164;19140101;19140131;    1;  6.50;  -2.44;    0.78;   -5.41;    2.37;   9.0;-999; -14.3;-999;    1;    27.1;    6.6;eor
        164;19140201;19140228;    1;  4.13;   3.26;    7.23;   -0.05;    1.53;  11.6;-999;  -4.9;-999;    1;    11.4;    2.4;eor
        164;19140301;19140331;    1;  5.51;   4.55;    8.59;    1.09;    2.38;  15.3;-999;  -3.4;-999;    1;    84.3;   20.4;eor
        164;19140401;19140430;    1;  3.28;   9.40;   15.63;    3.76;    1.46;  24.0;-999;   0.4;-999;    1;    30.3;   15.7;eor
        164;19140501;19140531;    1;  4.41;  11.43;   17.13;    6.24;    2.04;  27.1;-999;  -1.9;-999;    1;    57.3;    9.6;eor
        164;19140601;19140630;    1;  3.95;  15.92;   21.53;   10.34;    1.95;  28.3;-999;   6.3;-999;    1;    41.3;   17.8;eor
        164;19140701;19140731;    1;  3.70;  19.71;   25.53;   13.98;    1.36;  32.4;-999;   6.8;-999;    1;    89.3;   43.1;eor
        164;19140801;19140831;    1;  3.24;  17.21;   23.96;   11.85;    1.06;  31.0;-999;   8.8;-999;    1;    26.5;    9.3;eor
        164;19140901;19140930;    1;  3.95;  12.38;   19.07;    7.61;    2.35;  27.4;-999;   2.2;-999;    1;    45.8;   11.2;eor
        164;19141001;19141031;    1;  7.02;   7.60;   10.62;    5.04;    2.01;  15.8;-999;  -0.4;-999;    1;    83.4;   32.7;eor
        164;19141101;19141130;    1;  6.17;   2.99;    5.08;    1.09;    2.46;  10.8;-999;  -5.0;-999;    1;    18.8;    4.6;eor
        164;19141201;19141231;    1;  6.25;   3.03;    5.61;    0.62;    2.31;  14.1;-999;  -6.2;-999;    1;    36.0;   13.0;eor
        164;19150101;19150131;    1;  6.20;  -0.43;    1.92;   -2.94;    2.26;   8.2;-999; -13.8;-999;    1;    55.6;   11.7;eor
        164;19150201;19150228;    1;  5.59;   0.20;    3.46;   -2.38;    1.77;  10.0;-999; -11.8;-999;    1;    16.7;    3.7;eor
        164;19150301;19150331;    1;  5.85;   0.03;    3.69;   -3.37;    1.86;  17.4;-999; -14.5;-999;    1;    75.1;   13.9;eor
        164;19150401;19150430;    1;  4.26;   6.96;   12.36;    2.40;    1.69;  21.3;-999;  -2.5;-999;    1;    37.3;   13.0;eor
        164;19150501;19150531;    1;  2.97;  12.39;   19.56;    5.56;    2.44;  26.8;-999;   0.4;-999;    1;    14.4;    6.7;eor
