STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       5516;19310101;19310131;    5;  -999;   -999;    -999;   -0.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310201;19310228;    5;  -999;   -999;    -999;   -1.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310301;19310331;    5;  -999;   -999;    -999;   -3.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310401;19310430;    5;  -999;   -999;    -999;    2.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310501;19310531;    5;  -999;   -999;    -999;    8.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310601;19310630;    5;  -999;   -999;    -999;   10.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310701;19310731;    5;  -999;   -999;    -999;   13.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310801;19310831;    5;  -999;   -999;    -999;   12.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19310901;19310930;    5;  -999;   -999;    -999;    8.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19311001;19311031;    5;  -999;   -999;    -999;    5.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19311101;19311130;    5;  -999;   -999;    -999;    3.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19311201;19311231;    5;  -999;   -999;    -999;    0.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320101;19320131;    5;  -999;   -999;    -999;    0.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320201;19320229;    5;  -999;   -999;    -999;   -1.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320301;19320331;    5;  -999;   -999;    -999;   -1.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320401;19320430;    5;  -999;   -999;    -999;    2.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320501;19320531;    5;  -999;   -999;    -999;    7.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320601;19320630;    5;  -999;   -999;    -999;   10.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320701;19320731;    5;  -999;   -999;    -999;   14.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320801;19320831;    5;  -999;   -999;    -999;   14.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19320901;19320930;    5;  -999;   -999;    -999;   11.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19321001;19321031;    5;  -999;   -999;    -999;    6.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19321101;19321130;    5;  -999;   -999;    -999;    3.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19321201;19321231;    5;  -999;   -999;    -999;    0.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330101;19330131;    5;  -999;   -999;    -999;   -2.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330201;19330228;    5;  -999;   -999;    -999;   -1.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330301;19330331;    5;  -999;   -999;    -999;    1.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330401;19330430;    5;  -999;   -999;    -999;    2.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330501;19330531;    5;  -999;   -999;    -999;    7.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330601;19330630;    5;  -999;   -999;    -999;   11.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330701;19330731;    5;  -999;   -999;    -999;   14.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330801;19330831;    5;  -999;   -999;    -999;   13.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19330901;19330930;    5;  -999;   -999;    -999;   12.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19331001;19331031;    5;  -999;   -999;    -999;    7.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19331101;19331130;    5;  -999;   -999;    -999;    2.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19331201;19331231;    5;  -999;   -999;    -999;   -1.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340101;19340131;    5;  -999;   -999;    -999;    0.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340201;19340228;    5;  -999;   -999;    -999;    0.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340301;19340331;    5;  -999;   -999;    -999;    2.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340401;19340430;    5;  -999;   -999;    -999;    4.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340501;19340531;    5;  -999;   -999;    -999;    7.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340601;19340630;    5;  -999;   -999;    -999;   11.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340701;19340731;    5;  -999;   -999;    -999;   14.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340801;19340831;    5;  -999;   -999;    -999;   14.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19340901;19340930;    5;  -999;   -999;    -999;   12.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19341001;19341031;    5;  -999;   -999;    -999;    7.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19341101;19341130;    5;  -999;   -999;    -999;    4.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19341201;19341231;    5;  -999;   -999;    -999;    3.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350101;19350131;    5;  -999;   -999;    -999;   -1.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350201;19350228;    5;  -999;   -999;    -999;    0.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350301;19350331;    5;  -999;   -999;    -999;    0.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350401;19350430;    5;  -999;   -999;    -999;    3.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350501;19350531;    5;  -999;   -999;    -999;    6.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350601;19350630;    5;  -999;   -999;    -999;   11.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350701;19350731;    5;  -999;   -999;    -999;   13.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350801;19350831;    5;  -999;   -999;    -999;   13.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19350901;19350930;    5;  -999;   -999;    -999;   11.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19351001;19351031;    5;  -999;   -999;    -999;    6.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19351101;19351130;    5;  -999;   -999;    -999;    4.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19351201;19351231;    5;  -999;   -999;    -999;    0.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360101;19360131;    5;  -999;   -999;    -999;    1.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360201;19360229;    5;  -999;   -999;    -999;   -1.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360301;19360331;    5;  -999;   -999;    -999;    0.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360401;19360430;    5;  -999;   -999;    -999;    2.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360501;19360531;    5;  -999;   -999;    -999;    6.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360601;19360630;    5;  -999;   -999;    -999;   12.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360701;19360731;    5;  -999;   -999;    -999;   14.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       5516;19360801;19360831;    5;  -999;   -999;    -999;   13.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
