STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       2961;19980201;19980228;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  46.30;-999;-999;-999;eor
       2961;19980601;19980630;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 179.20;-999;-999;-999;eor
       2961;19980701;19980731;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 178.10;-999;-999;-999;eor
       2961;19980801;19980831;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 194.80;-999;-999;-999;eor
       2961;19990101;19990131;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  42.50;-999;-999;-999;eor
       2961;19990201;19990228;    1;  -999;   1.75;    -999;    -999;    4.77;-999;-999;-999;  62.40;-999;-999;-999;eor
       2961;19990401;19990430;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 196.40;-999;-999;-999;eor
       2961;19990501;19990531;    1;  -999;   -999;    -999;    -999;-999;-999;  22.0;-999; 272.50;-999;-999;-999;eor
       2961;19990601;19990630;    1;  -999;  14.24;   17.13;   11.67;    3.85;  22.8;  19.0;   8.3; 234.60;-999;-999;-999;eor
       2961;19990701;19990731;    1;  -999;   -999;   20.77;   15.41;-999;  29.3;  24.0;  12.1; 263.20;-999;-999;-999;eor
       2961;19990801;19990831;    1;  -999;   -999;   19.77;   14.95;-999;  24.2;-999;  11.1; 223.10;-999;-999;-999;eor
       2961;19990901;19990930;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 205.70;-999;-999;-999;eor
       2961;19991101;19991130;    1;  -999;   -999;    -999;    -999;-999;-999;  32.0;-999;  57.10;-999;-999;-999;eor
       2961;19991201;19991231;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  56.00;-999;-999;-999;eor
       2961;20000101;20000131;    1;  -999;   -999;    5.09;    1.47;-999;   9.0;-999;  -3.6;  60.20;-999;-999;-999;eor
       2961;20000501;20000531;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 308.60;-999;-999;-999;eor
       2961;20000601;20000630;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 212.50;-999;-999;-999;eor
       2961;20000801;20000831;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999; 210.90;-999;-999;-999;eor
       2961;20000901;20000930;    1;  -999;   -999;    -999;    -999;-999;-999;  23.0;-999; 129.70;-999;-999;-999;eor
       2961;20001001;20001031;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  87.00;-999;-999;-999;eor
       2961;20001101;20001130;    1;  -999;   -999;    9.25;    5.89;-999;  12.8;-999;   3.2;  57.30;-999;-999;-999;eor
       2961;20001201;20001231;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  41.40;-999;-999;-999;eor
       2961;20010101;20010131;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;  40.20;-999;-999;-999;eor
       2961;20010501;20010531;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
