STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       4466;19470101;19470131;    5;  3.93;  -3.81;   -1.66;   -6.56;    3.20;   7.4;-999; -19.5;-999;    5;    41.5;   12.2;eor
       4466;19470201;19470228;    5;  5.32;  -6.20;   -4.02;   -9.09;    4.35;  -1.5;-999; -17.5;-999;    5;    17.4;    9.1;eor
       4466;19470301;19470331;    5;  6.50;  -0.84;    2.50;   -5.00;    2.48;  12.2;-999; -17.5;-999;    5;    94.9;   17.3;eor
       4466;19470401;19470430;    5;  5.62;   6.78;   11.60;    2.73;    3.25;  19.1;-999;  -3.1;-999;    5;    72.9;   21.1;eor
       4466;19470501;19470531;    5;  3.24;  13.08;   18.38;    7.52;    2.72;  29.4;-999;   2.4;-999;    5;     8.8;    3.6;eor
       4466;19470601;19470630;    5;  4.28;  17.06;   22.00;   11.55;    2.29;  34.7;-999;   5.2;-999;    5;    64.6;   13.7;eor
       4466;19470701;19470731;    5;  4.98;  17.58;   22.59;   12.88;    2.15;  29.0;-999;   7.7;-999;    5;    66.6;   11.6;eor
       4466;19470801;19470831;    5;  2.90;  18.35;   24.21;   12.21;    2.10;  30.5;-999;   7.5;-999;    5;     9.1;    5.3;eor
       4466;19470901;19470930;    5;  3.72;  15.46;   21.30;   10.67;    2.18;  30.6;-999;   5.0;-999;    5;    58.0;   11.2;eor
       4466;19471001;19471031;    5;  4.89;   8.42;   12.76;    4.48;    2.22;  18.6;-999;  -2.5;-999;    5;    26.5;    6.5;eor
       4466;19471101;19471130;    5;  6.27;   5.03;    7.43;    2.27;    3.07;  12.8;-999;  -5.2;-999;    5;   157.2;   20.9;eor
       4466;19471201;19471231;    5;  6.04;   2.69;    4.94;    0.12;    3.05;   8.4;-999;  -8.6;-999;    5;    80.4;   14.4;eor
       4466;19480101;19480131;    5;  6.79;   2.06;    3.77;   -0.29;    3.37;   9.7;-999;  -7.5;-999;    5;   104.4;   20.5;eor
